team,team_match
Afghanistan,Afghanistan
Algeria,Algeria
Argentina,Argentina
Armenia,Armenia
Australasia,
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,
Bahrain,Bahrain
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Bermuda,
Bohemia,
Botswana,Botswana
Brazil,Brazil
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cameroon,Cameroon
Canada,Canada
Chile,Chile
Chinese Taipei,Taiwan Province of China
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic,Czech Republic
Czechoslovakia,Czechoslovakia
Côte d'Ivoire,Cote d'Ivoire
Democratic People's Republic of Korea,D.P.R. of Korea
Denmark,Denmark
Djibouti,Djibouti
Dominican Republic,Dominica
Ecuador,Ecuador
Egypt,Egypt
Eritrea,
Estonia,Estonia
Ethiopia,Ethiopia
Federal Republic of Germany,Germany
Fiji,
Finland,Finland
France,France
Gabon,Gabon
Georgia,Georgia
German Democratic Republic (Germany),Germany
Germany,Germany
Ghana,Ghana
Great Britain,United Kingdom
Greece,Greece
Grenada,
Guatemala,Guatemala
Guyana,
Haiti,Haiti
"Hong Kong, China",
Hungary,Hungary
Iceland,Iceland
Independent Olympic Athletes,
India,India
Indonesia,Indonesia
Iraq,Iraq
Ireland,Ireland
Islamic Republic of Iran,Iran (Islamic Republic of)
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kosovo,
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Latvia,Latvia
Lebanon,Lebanon
Liechtenstein,
Lithuania,Lithuania
Luxembourg,Luxembourg
MIX,
Malaysia,Malaysia
Mauritius,Mauritius
Mexico,Mexico
Monaco,
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Netherlands,Netherlands
Netherlands Antilles,
New Zealand,New Zealand
Niger,Niger
Nigeria,Nigeria
North Macedonia,TFYR of Macedonia
Norway,Norway
Olympic Athletes from Russia,Russian Federation
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
People's Republic of China,China
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
ROC,Russian Federation
Republic of Korea,Republic of Korea
Republic of Moldova,Republic of Moldova
Romania,Romania
Russian Federation,Russian Federation
Samoa,
San Marino,
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Serbia and Montenegro,
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
South Africa,South Africa
Soviet Union,Former USSR
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan (Former)
Suriname,
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic
Tajikistan,Tajikistan
Thailand,Thailand
Togo,Togo
Tonga,
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Uganda,Uganda
Ukraine,Ukraine
Unified Team,
United Arab Emirates,United Arab Emirates
United Arab Republic,
United Republic of Tanzania,U.R. of Tanzania: Mainland
United States of America,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Venezuela,Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam
"Virgin Islands, US",
West Indies Federation,
Yugoslavia,Former Yugoslavia
Zambia,Zambia
Zimbabwe,Zimbabwe
